ImageLeft_ji,ImageRight_ji,ImageCentre_ji,CorrAns,TextLeft_jwsi,TextRight_jwsi,TextCentre_jwsi,Answer,ImageLeft_wisi,ImageRight_wisi,ImageCentre_wisi,TextLeft_wisi,TextRight_wisi,TextCentre_wisi,ITI,TextLeft_jwis,TextRight_jwis,TextCentre_jwis,ImageLeft_wiis,ImageRight_wiis,ImageCentre_wiis,TextLeft_wiis,TextRight_wiis,TextCentre_wiis,ImagesDiscarded.thisRepN,ImagesDiscarded.thisTrialN,ImagesDiscarded.thisN,ImagesDiscarded.thisIndex,ji.thisRepN,ji.thisTrialN,ji.thisN,ji.thisIndex,jwsi.thisRepN,jwsi.thisTrialN,jwsi.thisN,jwsi.thisIndex,wisi.thisRepN,wisi.thisTrialN,wisi.thisN,wisi.thisIndex,jwis.thisRepN,jwis.thisTrialN,jwis.thisN,jwis.thisIndex,wiis.thisRepN,wiis.thisTrialN,wiis.thisN,wiis.thisIndex,thisRow.t,notes,Waiting_for_Scanner_Discard.started,SyncPulse_Discard.started,text_3.started,Waiting_for_Scanner_Discard.stopped,SyncPulse_Discard.keys,SyncPulse_Discard.rt,SyncPulse_Discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_Baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,Baseline_Fixation.started,Baseline.started,Baseline.stopped,Baseline_Fixation.stopped,Description.started,text_2.started,Progress.started,Description.stopped,Progress.keys,Progress.rt,Progress.duration,Trial_prep.started,prep_spacebar.started,prep_points.started,text_prep.started,image_left_prep.started,image_right_prep.started,key_resp_prep.started,Trial_prep.stopped,key_resp_prep.keys,key_resp_prep.rt,key_resp_prep.duration,Fixation_Start.started,Fixation_start.started,Fixation_Start.stopped,W4S_Trial.started,SyncPulse_Trial.started,fix_Trial.started,W4S_Trial.stopped,SyncPulse_Trial.keys,SyncPulse_Trial.rt,SyncPulse_Trial.duration,just_images.started,image_left_ji.started,image_right_ji.started,image_center_ji.started,key_resp_ji.started,just_images.stopped,key_resp_ji.keys,key_resp_ji.corr,key_resp_ji.rt,key_resp_ji.duration,feedback_ji.started,image_left_ji_2.started,image_right_ji_2.started,image_center_ji_fb.started,feedback_image_2.started,image_left_ji_2.stopped,image_right_ji_2.stopped,image_center_ji_fb.stopped,feedback_image_2.stopped,feedback_ji.stopped,fixation_practice.started,text.started,text.stopped,fixation_practice.stopped,prep_jwsi.started,prep_spacebar_9.started,prep_points_10.started,text_prep_10.started,text_left_prep_2.started,text_right_prep_2.started,key_resp_prep_10.started,prep_jwsi.stopped,key_resp_prep_10.keys,key_resp_prep_10.rt,key_resp_prep_10.duration,just_words_si.started,key_resp_jwsi.started,text_left_si.started,text_right_si.started,text_stim_jwsi.started,just_words_si.stopped,key_resp_jwsi.keys,key_resp_jwsi.corr,key_resp_jwsi.rt,key_resp_jwsi.duration,feedback_18.started,text_left_si_2.started,text_right_si_2.started,text_center.started,image_jwsi_fb.started,feedback_18.stopped,text_left_si_2.stopped,text_right_si_2.stopped,text_center.stopped,image_jwsi_fb.stopped,prep_wisi.started,prep_spacebar_10.started,prep_points_11.started,text_prep_11.started,image_left_sw_6.started,image_right_sw_6.started,under_image_left_6.started,under_image_right_6.started,key_resp_prep_11.started,prep_wisi.stopped,key_resp_prep_11.keys,key_resp_prep_11.rt,key_resp_prep_11.duration,words_images_si.started,key_resp_wisi.started,image_left_si.started,image_right_si.started,under_image_left_si.started,under_image_right_si.started,image_stim_wisi.started,text_stim_wisi.started,words_images_si.stopped,key_resp_wisi.keys,key_resp_wisi.corr,key_resp_wisi.rt,key_resp_wisi.duration,feedback_20.started,image_left_si_2.started,image_right_si_2.started,under_image_left_si_2.started,under_image_right_si_2.started,image_center_wisi_fb.started,text_center_wisi_fb.started,image_wisi_fb.started,feedback_20.stopped,ITI_Interval.started,fixation_point.started,fixation_point.stopped,ITI_Interval.stopped,image_left_si_2.stopped,image_right_si_2.stopped,under_image_left_si_2.stopped,under_image_right_si_2.stopped,image_center_wisi_fb.stopped,text_center_wisi_fb.stopped,image_wisi_fb.stopped,prep_jwis.started,prep_spacebar_11.started,prep_points_12.started,text_prep_12.started,text_left_prep_4.started,text_right_prep_4.started,key_resp_prep_12.started,prep_jwis.stopped,key_resp_prep_12.keys,key_resp_prep_12.rt,key_resp_prep_12.duration,just_word_is.started,key_resp_jwis.started,text_left_is.started,text_right_is.started,text_stim_jwis.started,just_word_is.stopped,key_resp_jwis.keys,key_resp_jwis.corr,key_resp_jwis.rt,key_resp_jwis.duration,feedback_22.started,text_left_is_2.started,text_right_is_2.started,text_center_jwis_fb.started,image_jwis_fb.started,feedback_22.stopped,text_left_is_2.stopped,text_right_is_2.stopped,text_center_jwis_fb.stopped,image_jwis_fb.stopped,prep_wiis.started,prep_spacebar_12.started,prep_points_13.started,text_prep_13.started,image_left_sw_7.started,image_right_sw_7.started,under_image_left_7.started,under_image_right_7.started,key_resp_prep_13.started,prep_wiis.stopped,key_resp_prep_13.keys,key_resp_prep_13.rt,key_resp_prep_13.duration,word_image_is.started,key_resp_wiis.started,image_left_is.started,image_right_is.started,under_image_left_is.started,under_image_is.started,image_stim_wiis.started,text_stim_wiis.started,word_image_is.stopped,key_resp_wiis.keys,key_resp_wiis.corr,key_resp_wiis.rt,key_resp_wiis.duration,feedback_24.started,image_left_is_2.started,image_right_is_2.started,under_image_left_is_2.started,under_image_is_2.started,image_center_wiis_fb.started,text_center_wiis_fb.started,image_wiis_fb.started,feedback_24.stopped,image_left_is_2.stopped,image_right_is_2.stopped,under_image_left_is_2.stopped,under_image_is_2.stopped,image_center_wiis_fb.stopped,text_center_wiis_fb.stopped,image_wiis_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00006_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,62.28392609999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.267867399999886,62.28392609999992,62.28392609999992,62.85209419999978,5,0.5599179999999251,None,62.85249769999996,62.86641009999994,62.86641009999994,62.86641009999994,62.86641009999994,64.51763679999999,1,1,1.6367731000000276,None,64.51816539999982,64.5366603,64.5366603,64.5366603,64.5366603,,,,,64.8010491,64.80107039999984,64.81745299999989,65.81727189999992,65.80095079999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00001_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,65.81727189999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.80132819999994,65.81727189999992,65.81727189999992,65.8510589,5,0.025685300000077405,None,65.85144609999998,65.86729839999998,65.86729839999998,65.86729839999998,65.86729839999998,67.70123699999999,2,1,1.8299378000001525,None,67.70176009999977,67.71951909999984,67.71951909999984,67.71951909999984,67.71951909999984,,,,,68.00075979999997,68.00077929999998,68.01702299999988,69.01673879999998,69.000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00009_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,69.01673879999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.00030249999986,69.01673879999998,69.01673879999998,69.85110339999983,5,0.8274470999999721,None,69.85152119999998,69.86724019999997,69.86724019999997,69.86724019999997,69.86724019999997,71.06766599999992,2,1,1.19191869999986,None,71.06812619999982,71.08475159999989,71.08475159999989,71.08475159999989,71.08475159999989,,,,,71.3508402,71.35086089999982,71.36715799999979,72.3674904999998,72.35095239999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00012_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,72.3674904999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.35135769999988,72.3674904999998,72.3674904999998,72.85125859999994,5,0.47543770000015684,None,72.85167849999993,72.86720349999996,72.86720349999996,72.86720349999996,72.86720349999996,73.80109059999995,1,1,0.9230487000002086,None,73.80159229999981,73.81983479999985,73.81983479999985,73.81983479999985,73.81983479999985,,,,,74.1004481,74.10046719999991,74.11715079999999,75.11711009999999,75.10040259999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00011_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,75.11711009999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1007216999999,75.11711009999999,75.11711009999999,75.85106029999997,5,0.7259004999998524,None,75.85146699999996,75.8671731999998,75.8671731999998,75.8671731999998,75.8671731999998,77.01838029999999,1,0,1.1480965000000651,None,77.01915129999998,77.04010799999992,77.04010799999992,77.04010799999992,77.04010799999992,,,,,77.31717369999978,77.31719399999997,77.33390569999983,,78.31724029999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00001_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,78.3337998999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.31757229999994,78.3337998999998,78.3337998999998,78.85086139999999,5,0.5095189999999548,None,78.8512483999998,78.86704699999996,78.86704699999996,78.86704699999996,78.86704699999996,80.01780339999982,1,1,1.134842899999967,None,80.01831009999978,80.0357439999998,80.0357439999998,80.0357439999998,80.0357439999998,,,,,80.3174532999999,80.31747389999987,80.33381449999979,81.33387999999991,81.31742879999979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00002_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,81.33387999999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.31778199999985,81.33387999999991,81.33387999999991,81.85163409999996,5,0.5101647000001321,None,81.85219999999981,81.86813199999983,81.86813199999983,81.86813199999983,81.86813199999983,82.9519171999998,2,1,1.0731866000000991,None,82.95268829999986,82.97225079999998,82.97225079999998,82.97225079999998,82.97225079999998,,,,,83.25056409999979,83.25058349999995,83.26693979999982,,84.2511791999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00004_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,84.26755939999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2516748999999,84.26755939999998,84.26755939999998,84.85111899999993,5,0.5753187000000253,None,84.85161429999994,84.86672359999989,84.86672359999989,84.86672359999989,84.86672359999989,85.8509067,2,0,0.9680920999999216,None,85.85136739999984,85.8688373,85.8688373,85.8688373,85.8688373,,,,,86.15069329999983,86.15071369999987,86.1670780999998,87.1669986999998,87.15014419999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00003_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,87.1669986999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1503952999999,87.1669986999998,87.1669986999998,87.85071909999988,5,0.6759867000000668,None,87.85112139999978,87.8665259999998,87.8665259999998,87.8665259999998,87.8665259999998,89.00078589999998,1,1,1.1214897999998357,None,89.00131929999998,89.01950909999982,89.01950909999982,89.01950909999982,89.01950909999982,,,,,89.28402249999999,89.28404239999986,89.30045619999987,90.30497549999995,90.28399339999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.28406039999982,90.30497549999995,90.30497549999995,90.30497549999995,90.30497549999995,90.30497549999995,90.30497549999995,91.80004459999986,1,1.4851040000000921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,2,Stupidity,Intelligence,Foolish,left,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,91.81680449999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8145841999999,91.81680449999999,91.81680449999999,91.85015859999999,5,0.026409699999931036,None,,,,,,,,,,,,,,,,,,,,,94.21716619999984,94.2335713,,95.21729719999985,,,,,,,,,,,,91.85047129999998,91.86645999999996,91.86645999999996,91.86645999999996,91.86645999999996,93.91752309999993,1,0,2.0364038999998684,None,93.91828459999988,93.93604259999984,93.93604259999984,93.93604259999984,93.93604259999984,94.21714769999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,2,Stupidity,Intelligence,Gullible,left,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,95.23386649999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.21767679999994,95.23386649999998,95.23386649999998,95.85027889999992,5,0.6091515999999046,None,,,,,,,,,,,,,,,,,,,,,98.46698829999991,98.48326439999983,,99.46721309999998,,,,,,,,,,,,95.85053439999979,95.86672179999982,95.86672179999982,95.86672179999982,95.86672179999982,98.1830986,1,0,2.3051095999999234,None,98.1835607999999,98.20012849999989,98.20012849999989,98.20012849999989,98.20012849999989,98.4669727999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,1,Stupidity,Intelligence,Educated,right,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,99.48378459999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.46758049999994,99.48378459999981,99.48378459999981,99.85091559999978,5,0.35941040000011526,None,,,,,,,,,,,,,,,,,,,,,108.14999979999993,108.16664489999994,,109.15047179999988,,,,,,,,,,,,99.8513168999998,99.86697499999991,99.86697499999991,99.86697499999991,99.86697499999991,107.85054699999978,1,1,7.96685279999997,None,107.85091349999993,107.86666159999982,107.86666159999982,107.86666159999982,107.86666159999982,108.1499872999998,108.16664489999994,108.16664489999994,108.16664489999994,108.16664489999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,2,Stupidity,Intelligence,Mindless,left,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,109.1667250999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.15083479999998,109.1667250999999,109.1667250999999,109.85085029999982,5,0.6761453999999958,None,,,,,,,,,,,,,,,,,,,,,113.4001937999999,113.41669749999983,,114.40045579999992,,,,,,,,,,,,109.85125589999984,109.86672079999994,109.86672079999994,109.86672079999994,109.86672079999994,113.10033449999992,1,0,3.233143899999959,None,113.10070509999991,113.11665879999987,113.11665879999987,113.11665879999987,113.11665879999987,113.40017919999991,113.41669749999983,113.41669749999983,113.41669749999983,113.41669749999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,1,Stupidity,Intelligence,Brainy,right,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,114.4167895999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.40083689999983,114.4167895999999,114.4167895999999,114.85228389999997,5,0.42744870000001356,None,,,,,,,,,,,,,,,,,,,,,117.46670919999997,117.48316349999982,,118.46733099999983,,,,,,,,,,,,114.85305759999983,114.87175359999992,114.87175359999992,114.87175359999992,114.87175359999992,117.16744119999998,1,1,2.2841253999999935,None,117.16794349999986,117.18278739999982,117.18278739999982,117.18278739999982,117.18278739999982,117.46669669999983,117.48316349999982,117.48316349999982,117.48316349999982,117.48316349999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,1,Stupidity,Intelligence,Wise,right,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,118.48382549999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.46775619999994,118.48382549999997,118.48382549999997,118.85077079999996,5,0.3594803000000866,None,,,,,,,,,,,,,,,,,,,,,120.60004659999981,120.61671849999993,,121.6002090999998,,,,,,,,,,,,118.85119629999986,118.86715799999979,118.86715799999979,118.86715799999979,118.86715799999979,120.30039519999991,1,1,1.4249933999999485,None,120.30075739999984,120.31653389999997,120.31653389999997,120.31653389999997,120.31653389999997,120.60003159999997,120.61671849999993,120.61671849999993,120.61671849999993,120.61671849999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,2,Stupidity,Intelligence,Idiotic,left,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,121.61697749999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.60057719999986,121.61697749999985,121.61697749999985,122.4674779999998,5,0.8465316000001621,None,,,,,,,,,,,,,,,,,,,,,126.73323729999993,126.74988729999995,,127.73365369999988,,,,,,,,,,,,122.46787879999988,122.48378779999985,122.48378779999985,122.48378779999985,122.48378779999985,126.44956109999998,1,0,3.961069299999963,None,126.44995479999989,126.46654119999994,126.46654119999994,126.46654119999994,126.46654119999994,126.73322099999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,1,Stupidity,Intelligence,Bright,right,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,127.75004139999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.73403479999979,127.75004139999987,127.75004139999987,128.8507565,5,1.0932381000000078,None,,,,,,,,,,,,,,,,,,,,,131.3166392999999,131.33321929999988,,132.31714629999988,,,,,,,,,,,,128.85116219999986,128.86705529999995,128.86705529999995,128.86705529999995,128.86705529999995,131.03256279999982,1,1,2.1508152000001246,None,131.03295789999993,131.05003699999997,131.05003699999997,131.05003699999997,131.05003699999997,131.31662389999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,1,Stupidity,Intelligence,Clever,right,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,132.33343489999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.31753489999983,132.33343489999993,132.33343489999993,132.85060369999997,5,0.5097566000001734,None,,,,,,,,,,,,,,,,,,,,,135.3999864,135.41661209999984,,136.4006695999999,,,,,,,,,,,,132.8509886999998,132.86644409999985,132.86644409999985,132.86644409999985,132.86644409999985,135.11691499999984,1,1,2.2493976000000657,None,135.11727399999995,135.13247699999988,135.13247699999988,135.13247699999988,135.13247699999988,135.39997089999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
,,,2,Stupidity,Intelligence,Dumb,left,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,136.41744619999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.40121019999992,136.41744619999986,136.41744619999986,136.8506038999999,5,0.4259039999999459,None,,,,,,,,,,,,,,,,,,,,,138.71674449999978,138.7332578999999,,139.7169955999998,,,,,,,,,,,,136.8510015999998,136.86657939999986,136.86657939999986,136.86657939999986,136.86657939999986,138.43246339999996,2,1,1.5552284999998847,None,138.4328618999998,138.4495669999999,138.4495669999999,138.4495669999999,138.4495669999999,138.71672919999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h36.58.391,IAT_test,2023.2.2,60.0319730288377,2024-04-15 11h37.02.787308 -0400,
