ImageLeft_ji,ImageRight_ji,ImageCentre_ji,CorrAns,TextLeft_jwsi,TextRight_jwsi,TextCentre_jwsi,Answer,ImageLeft_wisi,ImageRight_wisi,ImageCentre_wisi,TextLeft_wisi,TextRight_wisi,TextCentre_wisi,ITI,TextLeft_jwis,TextRight_jwis,TextCentre_jwis,ImageLeft_wiis,ImageRight_wiis,ImageCentre_wiis,TextLeft_wiis,TextRight_wiis,TextCentre_wiis,ImagesDiscarded.thisRepN,ImagesDiscarded.thisTrialN,ImagesDiscarded.thisN,ImagesDiscarded.thisIndex,ji.thisRepN,ji.thisTrialN,ji.thisN,ji.thisIndex,jwsi.thisRepN,jwsi.thisTrialN,jwsi.thisN,jwsi.thisIndex,wisi.thisRepN,wisi.thisTrialN,wisi.thisN,wisi.thisIndex,jwis.thisRepN,jwis.thisTrialN,jwis.thisN,jwis.thisIndex,wiis.thisRepN,wiis.thisTrialN,wiis.thisN,wiis.thisIndex,thisRow.t,notes,Waiting_for_Scanner_Discard.started,SyncPulse_Discard.started,text_3.started,Waiting_for_Scanner_Discard.stopped,SyncPulse_Discard.keys,SyncPulse_Discard.rt,SyncPulse_Discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_Baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,Baseline_Fixation.started,Baseline.started,Baseline.stopped,Baseline_Fixation.stopped,Description.started,text_2.started,Progress.started,Description.stopped,Progress.keys,Progress.rt,Progress.duration,Trial_prep.started,prep_spacebar.started,prep_points.started,text_prep.started,image_left_prep.started,image_right_prep.started,key_resp_prep.started,Trial_prep.stopped,key_resp_prep.keys,key_resp_prep.rt,key_resp_prep.duration,Fixation_Start.started,Fixation_start.started,Fixation_Start.stopped,W4S_Trial.started,SyncPulse_Trial.started,fix_Trial.started,W4S_Trial.stopped,SyncPulse_Trial.keys,SyncPulse_Trial.rt,SyncPulse_Trial.duration,just_images.started,image_left_ji.started,image_right_ji.started,image_center_ji.started,key_resp_ji.started,just_images.stopped,key_resp_ji.keys,key_resp_ji.corr,key_resp_ji.rt,key_resp_ji.duration,feedback_ji.started,image_left_ji_2.started,image_right_ji_2.started,image_center_ji_fb.started,feedback_image_2.started,feedback_ji.stopped,fixation_practice.started,text.started,fixation_practice.stopped,text.stopped,prep_jwsi.started,prep_spacebar_9.started,prep_points_10.started,text_prep_10.started,text_left_prep_2.started,text_right_prep_2.started,key_resp_prep_10.started,prep_jwsi.stopped,key_resp_prep_10.keys,key_resp_prep_10.rt,key_resp_prep_10.duration,just_words_si.started,key_resp_jwsi.started,text_left_si.started,text_right_si.started,text_stim_jwsi.started,just_words_si.stopped,key_resp_jwsi.keys,key_resp_jwsi.corr,key_resp_jwsi.rt,key_resp_jwsi.duration,feedback_18.started,text_left_si_2.started,text_right_si_2.started,text_center.started,image_jwsi_fb.started,text_left_si_2.stopped,text_right_si_2.stopped,text_center.stopped,image_jwsi_fb.stopped,feedback_18.stopped,prep_wisi.started,prep_spacebar_10.started,prep_points_11.started,text_prep_11.started,image_left_sw_6.started,image_right_sw_6.started,under_image_left_6.started,under_image_right_6.started,key_resp_prep_11.started,prep_wisi.stopped,key_resp_prep_11.keys,key_resp_prep_11.rt,key_resp_prep_11.duration,words_images_si.started,key_resp_wisi.started,image_left_si.started,image_right_si.started,under_image_left_si.started,under_image_right_si.started,image_stim_wisi.started,text_stim_wisi.started,words_images_si.stopped,key_resp_wisi.keys,key_resp_wisi.corr,key_resp_wisi.rt,key_resp_wisi.duration,feedback_20.started,image_left_si_2.started,image_right_si_2.started,under_image_left_si_2.started,under_image_right_si_2.started,image_center_wisi_fb.started,text_center_wisi_fb.started,image_wisi_fb.started,feedback_20.stopped,ITI_Interval.started,fixation_point.started,fixation_point.stopped,ITI_Interval.stopped,image_left_si_2.stopped,image_right_si_2.stopped,under_image_left_si_2.stopped,under_image_right_si_2.stopped,image_center_wisi_fb.stopped,text_center_wisi_fb.stopped,image_wisi_fb.stopped,prep_jwis.started,prep_spacebar_11.started,prep_points_12.started,text_prep_12.started,text_left_prep_4.started,text_right_prep_4.started,key_resp_prep_12.started,prep_jwis.stopped,key_resp_prep_12.keys,key_resp_prep_12.rt,key_resp_prep_12.duration,just_word_is.started,key_resp_jwis.started,text_left_is.started,text_right_is.started,text_stim_jwis.started,just_word_is.stopped,key_resp_jwis.keys,key_resp_jwis.corr,key_resp_jwis.rt,key_resp_jwis.duration,feedback_22.started,text_left_is_2.started,text_right_is_2.started,text_center_jwis_fb.started,image_jwis_fb.started,feedback_22.stopped,text_left_is_2.stopped,text_right_is_2.stopped,text_center_jwis_fb.stopped,image_jwis_fb.stopped,prep_wiis.started,prep_spacebar_12.started,prep_points_13.started,text_prep_13.started,image_left_sw_7.started,image_right_sw_7.started,under_image_left_7.started,under_image_right_7.started,key_resp_prep_13.started,prep_wiis.stopped,key_resp_prep_13.keys,key_resp_prep_13.rt,key_resp_prep_13.duration,word_image_is.started,key_resp_wiis.started,image_left_is.started,image_right_is.started,under_image_left_is.started,under_image_is.started,image_stim_wiis.started,text_stim_wiis.started,word_image_is.stopped,key_resp_wiis.keys,key_resp_wiis.corr,key_resp_wiis.rt,key_resp_wiis.duration,feedback_24.started,image_left_is_2.started,image_right_is_2.started,under_image_left_is_2.started,under_image_is_2.started,image_center_wiis_fb.started,text_center_wiis_fb.started,image_wiis_fb.started,feedback_24.stopped,image_left_is_2.stopped,image_right_is_2.stopped,under_image_left_is_2.stopped,under_image_is_2.stopped,image_center_wiis_fb.stopped,text_center_wiis_fb.stopped,image_wiis_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00006_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,49.92686500000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.91075670000282,49.92686500000127,49.92686500000127,50.04394950000278,5,0.11513639999611769,None,50.04438730000402,50.05968569999095,50.05968569999095,50.05968569999095,50.05968569999095,50.527044699992985,1,1,0.45449470001040027,0.0009481000015512109,50.52757569999085,50.54604109999491,50.54604109999491,50.54604109999491,50.54604109999491,50.810113799991086,50.81013389999862,50.826696299991454,51.81018909999693,51.826176699993084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00001_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,51.826176699993084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.810554700001376,51.826176699993084,51.826176699993084,52.04342929999984,5,0.21561429998837411,None,52.04374259999895,52.05982480000239,52.05982480000239,52.05982480000239,52.05982480000239,52.577011200002744,2,1,0.5051380000077188,0.0013074000016786158,52.577565899991896,52.59563840000192,52.59563840000192,52.59563840000192,52.59563840000192,52.86023619999469,52.860257399996044,52.87679389999539,53.859800899997936,53.876402699999744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00009_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,53.876402699999744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86001269999542,53.876402699999744,53.876402699999744,54.04351489999681,5,0.16545139999652747,None,54.043895599999814,54.05979679999291,54.05979679999291,54.05979679999291,54.05979679999291,54.37644189999264,1,0,0.3151235999976052,0.0008127000037347898,54.376766799992765,54.39277369999036,54.39277369999036,54.39277369999036,54.39277369999036,54.66066939999291,54.66069819999393,54.677238199990825,55.67639670000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00012_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,55.69298949999211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.67662270000437,55.69298949999211,55.69298949999211,56.04354009999952,5,0.3488682999886805,None,56.043850599991856,56.059919499995885,56.059919499995885,56.059919499995885,56.059919499995885,56.56066999999166,1,1,0.4943520999950124,0.0008789999992586672,56.56128429999808,56.58161480000126,56.58161480000126,56.58161480000126,56.58161480000126,56.85985510000319,56.859867599996505,56.87611990000005,57.86047559999861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00011_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,57.876986799994484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.860977999996976,57.876986799994484,57.876986799994484,58.04391910000413,5,0.16485290000855457,None,58.044434499999625,58.05955279999762,58.05955279999762,58.05955279999762,58.05955279999762,58.610391499998514,2,1,0.5434996999974828,0.0009846000029938295,58.61085070000263,58.62667199999851,58.62667199999851,58.62667199999851,58.62667199999851,58.89355209999485,58.89357489999384,58.909926099993754,59.893558499999926,59.91012339999725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00001_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,59.91012339999725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.89395759999752,59.91012339999725,59.91012339999725,61.043727299998864,5,1.131706000000122,None,61.04421569999249,61.05977609999536,61.05977609999536,61.05977609999536,61.05977609999536,61.57726369999,1,1,0.5030998000002,0.0009308000007877126,61.578104500003974,61.597241499999654,61.597241499999654,61.597241499999654,61.597241499999654,61.877257599990116,61.87728420000349,61.893455400000676,62.876517700002296,62.8930446000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00002_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,62.8930446000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.87680030000047,62.8930446000013,62.8930446000013,63.043728999997256,5,0.14887089999683667,None,63.044217399990885,63.05977589999384,63.05977589999384,63.05977589999384,63.05977589999384,63.594112099992344,2,1,0.5191005000087898,0.0009319999953731894,63.594854800001485,63.614157799995155,63.614157799995155,63.614157799995155,63.614157799995155,63.89343589999771,63.89345740000135,63.90951800000039,64.89315799999167,64.90965220000362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00004_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,64.90965220000362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8935169000033,64.90965220000362,64.90965220000362,65.04319229999965,5,0.13217109999095555,None,65.04342859999451,65.05963429999247,65.05963429999247,65.05963429999247,65.05963429999247,65.560000700003,1,1,0.49256359999708366,0.0008602000016253442,65.56041449999611,65.57576409999456,65.57576409999456,65.57576409999456,65.57576409999456,65.84353529999498,65.84356249999837,65.85994120000396,66.84345139999641,66.85992930000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00003_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,66.85992930000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8438174000039,66.85992930000066,66.85992930000066,67.04360269999597,5,0.18191050000314135,None,67.04398930000025,67.05984419999004,67.05984419999004,67.05984419999004,67.05984419999004,67.62685549999878,1,1,0.5659022999898298,None,67.62738599999284,67.64441739999165,67.64441739999165,67.64441739999165,67.64441739999165,67.91058019999764,67.91060849999485,67.92698409999139,68.90989559999434,68.92838620000111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.90995230000408,68.92838620000111,68.92838620000111,68.92838620000111,68.92838620000111,68.92838620000111,68.92838620000111,72.39221379999071,1,3.456863200000953,0.0007634999928995967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,2,Stupidity,Intelligence,Foolish,left,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,72.40936530000181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.40446740000334,72.40936530000181,72.40936530000181,73.0436253999942,5,0.632579800003441,None,,,,,,,,,,,,,,,,,74.00976929999888,74.02627980000398,75.0097980999999,75.02639420000196,,,,,,,,,,,,73.04433360000257,73.05953929999669,73.05953929999669,73.05953929999669,73.05953929999669,73.70993270000326,2,1,0.6425184999970952,0.0012456999975256622,73.71059160000004,73.72524329999578,73.72524329999578,73.72524329999578,73.72524329999578,74.02627980000398,74.02627980000398,74.02627980000398,74.02627980000398,74.00975669999025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,2,Stupidity,Intelligence,Gullible,left,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,75.02639420000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.01007589999062,75.02639420000196,75.02639420000196,75.04323589999694,5,0.015392299988889135,None,,,,,,,,,,,,,,,,,75.85972249999759,75.87631110000075,76.85994209999626,,,,,,,,,,,,,75.0435218999919,75.05963619999238,75.05963619999238,75.05963619999238,75.05963619999238,75.57562750000216,2,1,0.5036467000027187,0.0008927000017138198,75.57606130000204,75.59283090000099,75.59283090000099,75.59283090000099,75.59283090000099,,,,,75.8597088999959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,1,Stupidity,Intelligence,Educated,right,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,76.87651400000323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.86033309999038,76.87651400000323,76.87651400000323,77.04348910000408,5,0.16528060000564437,None,,,,,,,,,,,,,,,,,77.89311039999302,77.90965329999744,78.89350269999704,,,,,,,,,,,,,77.04387310000311,77.05977320000238,77.05977320000238,77.05977320000238,77.05977320000238,77.5931178000028,1,1,0.5320543999987422,None,77.59343389999412,77.60956599999918,77.60956599999918,77.60956599999918,77.60956599999918,77.90965329999744,77.90965329999744,77.90965329999744,77.90965329999744,77.89309559999674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,2,Stupidity,Intelligence,Mindless,left,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,78.9100674999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.89394229999743,78.9100674999936,78.9100674999936,79.04372619999049,5,0.1318669000029331,None,,,,,,,,,,,,,,,,,79.95996979999472,79.97638949999237,80.96010869999009,80.9766840999946,,,,,,,,,,,,79.04416279999714,79.05968150000263,79.05968150000263,79.05968150000263,79.05968150000263,79.67568200000096,2,1,0.6076348000060534,0.0007943999953567982,79.67615610000212,79.69280150000122,79.69280150000122,79.69280150000122,79.69280150000122,,,,,79.959950199991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,1,Stupidity,Intelligence,Brainy,right,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,80.9766840999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.96051170000283,80.9766840999946,80.9766840999946,81.04339829999662,5,0.06518639999558218,None,,,,,,,,,,,,,,,,,81.9931729999953,82.00955689999682,82.99353589999373,,,,,,,,,,,,,81.04381590000412,81.05991769999673,81.05991769999673,81.05991769999673,81.05991769999673,81.70981109999411,1,1,0.6449733000044944,0.0013334999966900796,81.71013330000278,81.72523949999595,81.72523949999595,81.72523949999595,81.72523949999595,,,,,81.99315510000451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,1,Stupidity,Intelligence,Wise,right,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,83.01019239999005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.99401509999007,83.01019239999005,83.01019239999005,83.04412559999037,5,0.031662499997764826,None,,,,,,,,,,,,,,,,,84.3596808000002,84.37615599999845,85.35969739999564,85.37621190000209,,,,,,,,,,,,83.04461810000066,83.05951799999457,83.05951799999457,83.05951799999457,83.05951799999457,84.06002309999894,1,1,0.9852708999969764,0.0009397999965585768,84.06045829999493,84.07528109999839,84.07528109999839,84.07528109999839,84.07528109999839,84.37615599999845,84.37615599999845,84.37615599999845,84.37615599999845,84.3596688999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,2,Stupidity,Intelligence,Idiotic,left,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,85.37621190000209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.35993439999584,85.37621190000209,85.37621190000209,86.04341909999494,5,0.6656387000111863,None,,,,,,,,,,,,,,,,,87.44336619999376,87.45975320000434,88.4430360999977,88.45949189999374,,,,,,,,,,,,86.04387359999237,86.0596641000011,86.0596641000011,86.0596641000011,86.0596641000011,87.14306760000181,2,1,1.066054399998393,0.0009570999973220751,87.14335399999982,87.15931499999715,87.15931499999715,87.15931499999715,87.15931499999715,87.45975320000434,87.45975320000434,87.45975320000434,87.45975320000434,87.44334650000383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,1,Stupidity,Intelligence,Bright,right,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,88.45949189999374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.44339610000316,88.45949189999374,88.45949189999374,89.04406649999146,5,0.5825722999870777,None,,,,,,,,,,,,,,,,,89.94306130000041,89.95947780000279,90.94283099999302,90.95951559999958,,,,,,,,,,,,89.0445527999982,89.05978229999891,89.05978229999891,89.05978229999891,89.05978229999891,89.64332499999728,1,1,0.5755525999993552,0.0008092000061878935,89.64374539999699,89.6595321999921,89.6595321999921,89.6595321999921,89.6595321999921,89.95947780000279,89.95947780000279,89.95947780000279,89.95947780000279,89.94304849999025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,1,Stupidity,Intelligence,Clever,right,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,90.95951559999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.94308159999491,90.95951559999958,90.95951559999958,91.04340080000111,5,0.08239519999187905,None,,,,,,,,,,,,,,,,,92.64326169999549,92.65939449999132,93.64303819999623,93.65956400000141,,,,,,,,,,,,91.04377449999447,91.05963950000296,91.05963950000296,91.05963950000296,91.05963950000296,92.3597019000008,1,1,1.286128199993982,0.001293900000746362,92.36000079999212,92.37490739999339,92.37490739999339,92.37490739999339,92.37490739999339,,,,,92.64324229999329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
,,,2,Stupidity,Intelligence,Dumb,left,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,93.65956400000141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.64332469999499,93.65956400000141,93.65956400000141,94.04344059999858,5,0.3822852999874158,None,,,,,,,,,,,,,,,,,94.8932877000043,94.91041080000286,95.89347359999374,,,,,,,,,,,,,94.04388569999719,94.05955229999381,94.05955229999381,94.05955229999381,94.05955229999381,94.6097124999942,2,1,0.5361524000036297,0.0014497999945888296,94.61001219999162,94.62524159999157,94.62524159999157,94.62524159999157,94.62524159999157,,,,,94.89326840000285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAT_Run2,001,2024-02-15_16h33.51.314,IAT_test,2023.2.2,59.9913132562965,2024-02-15 16h33.59.537225 -0500,
