Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,comf_religion,comf_science,comf_healthcare,comf_community,comf_firefighter,comf_police,comf_gun,comf_immigration,comf_media,comf_voting,OpenEnded,END QUESTIONNAIRE
1,1729270765892,18/10/2024 16:59:25,1729270764797,-5,18/10/2024 11:59:24,187086,12,questionnaire-xwu3,,40750761,dbmfmqu2,11889718,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1280x593,,,,Purpose/Comfort Exit Questions,3,No,5,6,7,5,7,7,2,7,7,7,The purpose of the study is to learn about people response and perception of some social concepts.,90791
1,1729272096554,18/10/2024 17:21:36,1729272097012,-5,18/10/2024 12:21:37,187086,12,questionnaire-xwu3,,40752625,3z63c4r7,11890158,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1266x540,,,,Purpose/Comfort Exit Questions,3,No,5,3,5,6,5,3,3,3,5,6,opinion on political topics,47191
1,1729272223340,18/10/2024 17:23:43,1729272223206,-4,18/10/2024 13:23:43,187086,12,questionnaire-xwu3,,40752857,pb387hmq,11890097,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1098x618,1647x725,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,Political opinons,44513
1,1729272241633,18/10/2024 17:24:01,1729272240895,-5,18/10/2024 12:24:00,187086,12,questionnaire-xwu3,,40752894,z1u2z2ky,11890163,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 129.0.0.0,1366x768,1366x633,,,,Purpose/Comfort Exit Questions,3,No,2,7,5,7,6,2,2,6,2,7,seeing how people view differing groups in society,40377
1,1729272394317,18/10/2024 17:26:34,1729272393797,-5,18/10/2024 12:26:33,187086,12,questionnaire-xwu3,,40753214,mi2bv20e,11890287,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1920x1080,1912x954,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,to gauge political leanings,48298
1,1729272410243,18/10/2024 17:26:50,1729272409459,-4,18/10/2024 13:26:49,187086,12,questionnaire-xwu3,,40753245,3wrurvez,11890191,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x599,,,,Purpose/Comfort Exit Questions,3,No,4,5,5,5,6,5,5,5,5,5,not really sure,47111
1,1729272486469,18/10/2024 17:28:06,1729272486327,-6,18/10/2024 11:28:06,187086,12,questionnaire-xwu3,,40753403,34n3n3d5,11890139,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,1574x1036,,,,Purpose/Comfort Exit Questions,3,No,3,5,3,5,5,6,5,3,3,5,see how i feel about certain topics and how they might relate to one another,41408
1,1729272486709,18/10/2024 17:28:06,1729272340509,-4,18/10/2024 13:25:40,187086,12,questionnaire-xwu3,,40753408,3ntd505j,11890303,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x695,,,,Purpose/Comfort Exit Questions,3,No,6,7,7,7,7,1,1,6,1,7,To see how people feel about different topics.,36877
1,1729272486657,18/10/2024 17:28:06,1729272486373,-4,18/10/2024 13:28:06,187086,12,questionnaire-xwu3,,40753409,3vdt7zpr,11890371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x953,,,,Purpose/Comfort Exit Questions,3,No,0,2,2,2,2,1,2,2,2,2,I have no idea,17113
1,1729272496878,18/10/2024 17:28:16,1729272498950,1,18/10/2024 18:28:18,187086,12,questionnaire-xwu3,,40753425,fenwi7vo,11890331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Purpose/Comfort Exit Questions,3,No,2,7,7,3,7,3,3,3,3,6,To understand citizens opinions,64196
