Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1701202166442,28/11/2023 20:09:26,1701202166300,-8,28/11/2023 12:09:26,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,BEGIN QUESTIONNAIRE,
2,1701202220705,28/11/2023 20:10:20,1701202220610,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust1,4
3,1701202220881,28/11/2023 20:10:20,1701202220611,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust2,4
4,1701202220881,28/11/2023 20:10:20,1701202220611,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust3,3
5,1701202220881,28/11/2023 20:10:20,1701202220611,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust4,4
6,1701202220881,28/11/2023 20:10:20,1701202220612,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust5,3
7,1701202220881,28/11/2023 20:10:20,1701202220612,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,ProcJust1,4
8,1701202220881,28/11/2023 20:10:20,1701202220612,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,ProcJust2,4
9,1701202220881,28/11/2023 20:10:20,1701202220612,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,ProcJust3,4
10,1701202220881,28/11/2023 20:10:20,1701202220612,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,ProcJust4,3
11,1701202220881,28/11/2023 20:10:20,1701202220613,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,ProcJust5,3
12,1701202220881,28/11/2023 20:10:20,1701202220613,-8,28/11/2023 12:10:20,139457,5,questionnaire-vybo,,33279493,ly70xo0q,9852841,,complete,,a2e02e3d-289d-427d-b45d-cffd91836905,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x931,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,END QUESTIONNAIRE,54313
1,1701202384756,28/11/2023 20:13:04,1701202384026,-6,28/11/2023 14:13:04,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1701202413629,28/11/2023 20:13:33,1701202413093,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust1,5
3,1701202413761,28/11/2023 20:13:33,1701202413094,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust2,5
4,1701202413761,28/11/2023 20:13:33,1701202413094,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust3,4
5,1701202413761,28/11/2023 20:13:33,1701202413094,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust4,4
6,1701202413761,28/11/2023 20:13:33,1701202413094,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,DistJust5,5
7,1701202413761,28/11/2023 20:13:33,1701202413095,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust1,5
8,1701202413761,28/11/2023 20:13:33,1701202413095,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust2,5
9,1701202413761,28/11/2023 20:13:33,1701202413095,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust3,4
10,1701202413761,28/11/2023 20:13:33,1701202413095,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust4,4
11,1701202413761,28/11/2023 20:13:33,1701202413095,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,ProcJust5,4
12,1701202413761,28/11/2023 20:13:33,1701202413095,-6,28/11/2023 14:13:33,139457,5,questionnaire-vybo,,33279570,5k0m7iyq,9852813,,complete,,a8a493cb-3147-4bd1-ae0c-a83a72eefd55,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x1080,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,29069
1,1701203137300,28/11/2023 20:25:37,1701203138576,-5,28/11/2023 15:25:38,139457,5,questionnaire-vybo,,33279826,5zl9kddh,9852898,,complete,,d7d310de-a516-4892-a2c8-b25fd4ebd9b8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1280x720,1280x559,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,BEGIN QUESTIONNAIRE,
2,1701203179152,28/11/2023 20:26:19,1701203180448,-5,28/11/2023 15:26:20,139457,5,questionnaire-vybo,,33279826,5zl9kddh,9852898,,complete,,d7d310de-a516-4892-a2c8-b25fd4ebd9b8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1280x720,1263x559,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust1,5
3,1701203179262,28/11/2023 20:26:19,1701203180450,-5,28/11/2023 15:26:20,139457,5,questionnaire-vybo,,33279826,5zl9kddh,9852898,,complete,,d7d310de-a516-4892-a2c8-b25fd4ebd9b8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1280x720,1263x559,,,,Belief in Just World Scale,1,MaleBranch,,Male_InOut_Swap,No,DistJust2,4
