Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
3,1673632325535,13/01/2023 17:52:05,1673632325129,-5,13/01/2023 12:52:05,109726,5,questionnaire-7tdp,,26371042,BLIND,7784356,,complete,lpuvnk,3KMS4QQVK2Q6QEVC9AYAYVAXB01KFZ,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1680x1050,1678x908,,Check,1,No,genderCheck,2
4,1673632325535,13/01/2023 17:52:05,1673632325129,-5,13/01/2023 12:52:05,109726,5,questionnaire-7tdp,,26371042,BLIND,7784356,,complete,lpuvnk,3KMS4QQVK2Q6QEVC9AYAYVAXB01KFZ,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1680x1050,1678x908,,Check,1,No,END QUESTIONNAIRE,7097
1,1673632408885,13/01/2023 17:53:28,1673632416627,-8,13/01/2023 09:53:36,109726,5,questionnaire-7tdp,,26371067,BLIND,7784362,,complete,dwgxuk,3TEM0PF1Q5X7F4ACEBT2RBS3LPFD0B,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1364x768,1364x657,,Check,1,No,BEGIN QUESTIONNAIRE,
2,1673632427545,13/01/2023 17:53:47,1673632435323,-8,13/01/2023 09:53:55,109726,5,questionnaire-7tdp,,26371067,BLIND,7784362,,complete,dwgxuk,3TEM0PF1Q5X7F4ACEBT2RBS3LPFD0B,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1364x768,1364x657,,Check,1,No,raceCheck,3
3,1673632427932,13/01/2023 17:53:47,1673632435325,-8,13/01/2023 09:53:55,109726,5,questionnaire-7tdp,,26371067,BLIND,7784362,,complete,dwgxuk,3TEM0PF1Q5X7F4ACEBT2RBS3LPFD0B,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1364x768,1364x657,,Check,1,No,genderCheck,female
4,1673632427932,13/01/2023 17:53:47,1673632435325,-8,13/01/2023 09:53:55,109726,5,questionnaire-7tdp,,26371067,BLIND,7784362,,complete,dwgxuk,3TEM0PF1Q5X7F4ACEBT2RBS3LPFD0B,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1364x768,1364x657,,Check,1,No,END QUESTIONNAIRE,18698
1,1673632487968,13/01/2023 17:54:47,1673632487904,-5,13/01/2023 12:54:47,109726,5,questionnaire-7tdp,,26371093,BLIND,7784364,,complete,kyxjzg,39PAAFCODM0UPU7P3YH6H80FI6FTVZ,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1600x757,,Check,1,No,BEGIN QUESTIONNAIRE,
2,1673632504644,13/01/2023 17:55:04,1673632504631,-5,13/01/2023 12:55:04,109726,5,questionnaire-7tdp,,26371093,BLIND,7784364,,complete,kyxjzg,39PAAFCODM0UPU7P3YH6H80FI6FTVZ,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1600x757,,Check,1,No,raceCheck,4
3,1673632504767,13/01/2023 17:55:04,1673632504634,-5,13/01/2023 12:55:04,109726,5,questionnaire-7tdp,,26371093,BLIND,7784364,,complete,kyxjzg,39PAAFCODM0UPU7P3YH6H80FI6FTVZ,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1600x757,,Check,1,No,genderCheck,2
4,1673632504767,13/01/2023 17:55:04,1673632504635,-5,13/01/2023 12:55:04,109726,5,questionnaire-7tdp,,26371093,BLIND,7784364,,complete,kyxjzg,39PAAFCODM0UPU7P3YH6H80FI6FTVZ,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1600x757,,Check,1,No,END QUESTIONNAIRE,16731
