,0,1,2,3,4,5
102,0.0207,0.0102,0.3237,0.3639,0.3402,0.0019
103,0.2265,0.1095,0.4723,0.3381,0.2682,0.34
104,0.0,0.0019,0.1397,0.2054,0.0122,0.0002
105,0.3256,0.0189,0.3507,0.1006,0.3287,0.429
106,0.0816,0.0155,0.5088,0.0874,0.4964,0.1766
107,0.1438,0.021,0.2827,0.333,0.457,0.1113
108,0.4754,0.2325,0.338,0.4386,0.4597,0.4917
109,0.0652,0.0255,0.4196,0.1456,0.2685,0.2519
110,0.0582,0.039,0.4608,0.3897,0.2708,0.0648
111,0.1154,0.0362,0.1687,0.3398,0.4417,0.1059
112,0.5708,0.3608,0.2477,0.4548,0.3293,0.1299
113,0.0853,0.0601,0.3596,0.1389,0.4747,0.1242
114,0.4736,0.3584,0.3722,0.0645,0.2359,0.338
115,0.1395,0.0063,0.1855,0.2595,0.4375,0.1789
116,0.439,0.1221,0.1877,0.2531,0.3228,0.1074
117,0.3594,0.0365,0.3203,0.283,0.4292,0.1678
118,0.078,0.2406,0.1955,0.0426,0.2278,0.2829
119,0.0274,0.0815,0.3559,0.0131,0.3336,0.2024
