Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
4,1682375398917,24/04/2023 22:29:58,1682375398611,-6,24/04/2023 16:29:58,131186,3,questionnaire-n4qg,,29071069,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,PGRD3,1
5,1682375398917,24/04/2023 22:29:58,1682375398611,-6,24/04/2023 16:29:58,131186,3,questionnaire-n4qg,,29071069,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,END QUESTIONNAIRE,15917
1,1682375391908,24/04/2023 22:29:51,1682375392476,-4,24/04/2023 18:29:52,131186,3,questionnaire-n4qg,,29071076,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682375408388,24/04/2023 22:30:08,1682375409011,-4,24/04/2023 18:30:09,131186,3,questionnaire-n4qg,,29071076,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD1,6
3,1682375408521,24/04/2023 22:30:08,1682375409012,-4,24/04/2023 18:30:09,131186,3,questionnaire-n4qg,,29071076,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD2,6
4,1682375408521,24/04/2023 22:30:08,1682375409012,-4,24/04/2023 18:30:09,131186,3,questionnaire-n4qg,,29071076,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD3,7
5,1682375408521,24/04/2023 22:30:08,1682375409012,-4,24/04/2023 18:30:09,131186,3,questionnaire-n4qg,,29071076,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,END QUESTIONNAIRE,16536
1,1682375401489,24/04/2023 22:30:01,1682375398275,-4,24/04/2023 18:29:58,131186,3,questionnaire-n4qg,,29071082,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,BEGIN QUESTIONNAIRE,
2,1682375417185,24/04/2023 22:30:17,1682375414016,-4,24/04/2023 18:30:14,131186,3,questionnaire-n4qg,,29071082,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD1,1
3,1682375417301,24/04/2023 22:30:17,1682375414017,-4,24/04/2023 18:30:14,131186,3,questionnaire-n4qg,,29071082,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD2,1
