Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
4,1682376897060,24/04/2023 22:54:57,1682376895058,-7,24/04/2023 15:54:55,131169,4,questionnaire-n4qg,,29071931,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x825,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD3,7
5,1682376897060,24/04/2023 22:54:57,1682376895058,-7,24/04/2023 15:54:55,131169,4,questionnaire-n4qg,,29071931,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x825,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,END QUESTIONNAIRE,22563
1,1682378651538,24/04/2023 23:24:11,1682378650978,-5,24/04/2023 18:24:10,131169,4,questionnaire-n4qg,,29072348,BLIND,8657536,,complete,,378fe6f6-0b55-4d09-ae37-6725914953ef,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1536x864,1381x698,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,BEGIN QUESTIONNAIRE,
2,1682378663986,24/04/2023 23:24:23,1682378663480,-5,24/04/2023 18:24:23,131169,4,questionnaire-n4qg,,29072348,BLIND,8657536,,complete,,378fe6f6-0b55-4d09-ae37-6725914953ef,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1536x864,1381x698,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD1,5
3,1682378664137,24/04/2023 23:24:24,1682378663482,-5,24/04/2023 18:24:23,131169,4,questionnaire-n4qg,,29072348,BLIND,8657536,,complete,,378fe6f6-0b55-4d09-ae37-6725914953ef,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1536x864,1381x698,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD2,6
4,1682378664137,24/04/2023 23:24:24,1682378663482,-5,24/04/2023 18:24:23,131169,4,questionnaire-n4qg,,29072348,BLIND,8657536,,complete,,378fe6f6-0b55-4d09-ae37-6725914953ef,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1536x864,1381x698,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD3,6
5,1682378664137,24/04/2023 23:24:24,1682378663482,-5,24/04/2023 18:24:23,131169,4,questionnaire-n4qg,,29072348,BLIND,8657536,,complete,,378fe6f6-0b55-4d09-ae37-6725914953ef,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1536x864,1381x698,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,END QUESTIONNAIRE,12504
1,1682378872849,24/04/2023 23:27:52,1682378872613,-5,24/04/2023 18:27:52,131169,4,questionnaire-n4qg,,29072405,BLIND,8657534,,complete,,068300ce-1592-42bc-bbfc-52d9de57cdbe,computer,Desktop or Laptop,Linux x86_64,Chrome 112.0.0.0,1366x768,1366x768,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,BEGIN QUESTIONNAIRE,
2,1682378913782,24/04/2023 23:28:33,1682378913575,-5,24/04/2023 18:28:33,131169,4,questionnaire-n4qg,,29072405,BLIND,8657534,,complete,,068300ce-1592-42bc-bbfc-52d9de57cdbe,computer,Desktop or Laptop,Linux x86_64,Chrome 112.0.0.0,1366x768,1351x768,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,PGRD1,2
3,1682378914032,24/04/2023 23:28:34,1682378913580,-5,24/04/2023 18:28:33,131169,4,questionnaire-n4qg,,29072405,BLIND,8657534,,complete,,068300ce-1592-42bc-bbfc-52d9de57cdbe,computer,Desktop or Laptop,Linux x86_64,Chrome 112.0.0.0,1366x768,1351x768,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,PGRD2,2
