Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
11,1682399798827,25/04/2023 05:16:38,1682374598827,-7,24/04/2023 15:16:38,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,Trial/Encounter,Reward,56azq1,4,timedOut,,6999.800000000003,6999.380000000005,6999.800000000003,6999.800000000003,6999.380000000005,6999.800000000003,1,0,6999.800000000003,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Thomas,,,,,Reward,1,
12,1682399801827,25/04/2023 05:16:41,1682374601827,-7,24/04/2023 15:16:41,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,1,Trial/Encounter,trialEnd,olwm64,5,timedOut,,3000.4199999999983,2999.7599999999948,3000.4199999999983,3000.4199999999983,2999.7599999999948,3000.4199999999983,1,0,3000.4199999999983,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jack’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Jack’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Thomas,,,,,Reward,1,
13,1682399807826,25/04/2023 05:16:47,1682374607826,-7,24/04/2023 15:16:47,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,2,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6000.6600000000035,5999.5199999999895,6000.6600000000035,6000.6600000000035,5999.5199999999895,6000.6600000000035,1,0,6000.6600000000035,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> chokes the salamander into unconsciousness. He is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Jamal’s</b> arm. He takes damage, but the salamander cowers into its den.",6927.9,,,,Thomas,,,,,Reward,1,
14,1682399814759,25/04/2023 05:16:54,1682374614759,-7,24/04/2023 15:16:54,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,2,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6934.140000000014,6932.700000000012,6934.140000000014,6934.140000000014,6932.700000000012,6934.140000000014,1,0,6934.140000000014,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> chokes the salamander into unconsciousness. He is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Jamal’s</b> arm. He takes damage, but the salamander cowers into its den.",6927.9,,,,Thomas,,,,,Reward,1,
15,1682399821745,25/04/2023 05:17:01,1682374621745,-7,24/04/2023 15:17:01,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,2,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,6982.74000000002,6966.080000000016,6982.74000000002,6982.74000000002,6966.080000000016,6982.74000000002,1,0,6982.74000000002,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> chokes the salamander into unconsciousness. He is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Jamal’s</b> arm. He takes damage, but the salamander cowers into its den.",6927.9,,,,Thomas,,,,,Reward,2,
16,1682399826148,25/04/2023 05:17:06,1682374626148,-7,24/04/2023 15:17:06,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,2,Trial/Encounter,Reward,56azq1,4,continue,,4425.359999999986,4416.279999999999,4425.359999999986,4425.359999999986,4416.279999999999,4425.359999999986,1,0,4425.359999999986,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> chokes the salamander into unconsciousness. He is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Jamal’s</b> arm. He takes damage, but the salamander cowers into its den.",6927.9,,,,Thomas,,,,,Reward,2,
17,1682399831723,25/04/2023 05:17:11,1682374631723,-7,24/04/2023 15:17:11,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,2,Trial/Encounter,trialEnd,olwm64,5,timedOut,,2999.9400000000023,2999.720000000001,2999.9400000000023,2999.9400000000023,2999.720000000001,2999.9400000000023,1,0,2999.9400000000023,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> chokes the salamander into unconsciousness. He is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Jamal’s</b> arm. He takes damage, but the salamander cowers into its den.",6927.9,,,,Thomas,,,,,Reward,2,
18,1682399837723,25/04/2023 05:17:17,1682374637723,-7,24/04/2023 15:17:17,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,3,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,5999.5199999999895,5999.5199999999895,5999.5199999999895,5999.5199999999895,5999.5199999999895,5999.5199999999895,1,0,5999.5199999999895,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Jamal</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,<em><b>Jamal</b> correctly identifies the sequence of tiles necessary to get across. He is showered by applause from the crowd.,,<em><b>Jamal</b> repeatedly steps on incorrect tiles but manages to make it across. He loses some valuables from his pack to the tar-like substance.,4783.5,,,,Thomas,,,,,Reward,2,
19,1682399842506,25/04/2023 05:17:22,1682374642506,-7,24/04/2023 15:17:22,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,3,Trial/Encounter,Delay,4wo1q4,2,timedOut,,4783.700000000012,4782.920000000013,4783.700000000012,4783.700000000012,4782.920000000013,4783.700000000012,1,0,4783.700000000012,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Jamal</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,<em><b>Jamal</b> correctly identifies the sequence of tiles necessary to get across. He is showered by applause from the crowd.,,<em><b>Jamal</b> repeatedly steps on incorrect tiles but manages to make it across. He loses some valuables from his pack to the tar-like substance.,4783.5,,,,Thomas,,,,,Reward,2,
20,1682399846442,25/04/2023 05:17:26,1682374646442,-7,24/04/2023 15:17:26,131186,3,task-sbxy,,29070438,BLIND,8657261,,complete,,5ab7a77c-4dd6-4b8e-a27c-64c004b53069,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1958x1101,1800x828,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-race,WhiteMale_OutGrp_Race,3,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,3925.779999999999,3916.320000000007,3925.779999999999,3925.779999999999,3916.320000000007,3925.779999999999,1,0,3925.779999999999,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Jamal</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,<em><b>Jamal</b> correctly identifies the sequence of tiles necessary to get across. He is showered by applause from the crowd.,,<em><b>Jamal</b> repeatedly steps on incorrect tiles but manages to make it across. He loses some valuables from his pack to the tar-like substance.,4783.5,,,,Thomas,,,,,Reward,3,
