Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
12,1682411620821,25/04/2023 08:33:40,1682386420821,-7,24/04/2023 18:33:40,131169,4,task-2g93,,29073152,BLIND,8657734,,complete,,f1543c0f-b037-442e-bd9e-f289bc9229e5,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x947,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,1,Trial/Encounter,trialEnd,olwm64,5,timedOut,,3000.5559999985126,3000.0290000000095,3000.5559999985126,3000.5559999985126,3000.0290000000095,3000.5559999985126,1,0,3000.5559999985126,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Tama,,,,,Punish,,1
13,1682411626821,25/04/2023 08:33:46,1682386426821,-7,24/04/2023 18:33:46,131169,4,task-2g93,,29073152,BLIND,8657734,,complete,,f1543c0f-b037-442e-bd9e-f289bc9229e5,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x947,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,2,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6000.526999998503,6000.028999999995,6000.526999998503,6000.526999998503,6000.028999999995,6000.526999998503,1,0,6000.526999998503,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> chokes the salamander into unconsciousness. He is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Jamal’s</b> arm. He takes damage, but the salamander cowers into its den.",6927.9,,,,Tama,,,,,Punish,,1
14,1682411633751,25/04/2023 08:33:53,1682386433751,-7,24/04/2023 18:33:53,131169,4,task-2g93,,29073152,BLIND,8657734,,complete,,f1543c0f-b037-442e-bd9e-f289bc9229e5,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x947,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,2,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6930.798000002978,6930.4389999999985,6930.798000002978,6930.798000002978,6930.4389999999985,6930.798000002978,1,0,6930.798000002978,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> chokes the salamander into unconsciousness. He is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Jamal’s</b> arm. He takes damage, but the salamander cowers into its den.",6927.9,,,,Tama,,,,,Punish,,1
15,1682411638324,25/04/2023 08:33:58,1682386438324,-7,24/04/2023 18:33:58,131169,4,task-2g93,,29073152,BLIND,8657734,,complete,,f1543c0f-b037-442e-bd9e-f289bc9229e5,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x947,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,2,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,4570.85900000298,4569.330000000002,4570.85900000298,4570.85900000298,4569.330000000002,4570.85900000298,1,0,4570.85900000298,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> chokes the salamander into unconsciousness. He is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Jamal’s</b> arm. He takes damage, but the salamander cowers into its den.",6927.9,,,,Tama,,,,,Reward,1,1
16,1682411645320,25/04/2023 08:34:05,1682386445320,-7,24/04/2023 18:34:05,131169,4,task-2g93,,29073152,BLIND,8657734,,complete,,f1543c0f-b037-442e-bd9e-f289bc9229e5,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x947,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,2,Trial/Encounter,Reward,56azq1,4,timedOut,,7000.228999998508,6999.9679999999935,7000.228999998508,7000.228999998508,6999.9679999999935,7000.228999998508,1,0,7000.228999998508,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> chokes the salamander into unconsciousness. He is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Jamal’s</b> arm. He takes damage, but the salamander cowers into its den.",6927.9,,,,Tama,,,,,Reward,1,1
17,1682411648031,25/04/2023 08:34:08,1682386448031,-7,24/04/2023 18:34:08,131169,4,task-2g93,,29073152,BLIND,8657734,,complete,,f1543c0f-b037-442e-bd9e-f289bc9229e5,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x947,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,2,Trial/Encounter,trialEnd,olwm64,5,continue,,2710.8610000000044,2708.2810000000172,2710.8610000000044,2710.8610000000044,2708.2810000000172,2710.8610000000044,1,0,2710.8610000000044,0,0,,Click To Continue,Continue Button,2,object-89,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> chokes the salamander into unconsciousness. He is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Jamal’s</b> arm. He takes damage, but the salamander cowers into its den.",6927.9,,,,Tama,,,,,Reward,1,1
18,1682411652024,25/04/2023 08:34:12,1682386452024,-7,24/04/2023 18:34:12,131169,4,task-2g93,,29073152,BLIND,8657734,,complete,,f1543c0f-b037-442e-bd9e-f289bc9229e5,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x947,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,3,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,3995.379999997007,3993.0749999999825,3995.379999997007,3995.379999997007,3993.0749999999825,3995.379999997007,1,0,3995.379999997007,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Jamal</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,<em><b>Jamal</b> correctly identifies the sequence of tiles necessary to get across. He is showered by applause from the crowd.,,<em><b>Jamal</b> repeatedly steps on incorrect tiles but manages to make it across. He loses some valuables from his pack to the tar-like substance.,4783.5,,,,Tama,,,,,Reward,1,1
19,1682411658813,25/04/2023 08:34:18,1682386458813,-7,24/04/2023 18:34:18,131169,4,task-2g93,,29073152,BLIND,8657734,,complete,,f1543c0f-b037-442e-bd9e-f289bc9229e5,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x947,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,3,Trial/Encounter,Delay,4wo1q4,2,timedOut,,4785.007999998517,4784.692999999999,4785.007999998517,4785.007999998517,4784.692999999999,4785.007999998517,1,0,4785.007999998517,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Jamal</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,<em><b>Jamal</b> correctly identifies the sequence of tiles necessary to get across. He is showered by applause from the crowd.,,<em><b>Jamal</b> repeatedly steps on incorrect tiles but manages to make it across. He loses some valuables from his pack to the tar-like substance.,4783.5,,,,Tama,,,,,Reward,1,1
20,1682411662295,25/04/2023 08:34:22,1682386462295,-7,24/04/2023 18:34:22,131169,4,task-2g93,,29073152,BLIND,8657734,,complete,,f1543c0f-b037-442e-bd9e-f289bc9229e5,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x947,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,3,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,3479.1150000029884,3472.217000000004,3479.1150000029884,3479.1150000029884,3472.217000000004,3479.1150000029884,1,0,3479.1150000029884,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Jamal</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,<em><b>Jamal</b> correctly identifies the sequence of tiles necessary to get across. He is showered by applause from the crowd.,,<em><b>Jamal</b> repeatedly steps on incorrect tiles but manages to make it across. He loses some valuables from his pack to the tar-like substance.,4783.5,,,,Tama,,,,,Reward,2,1
21,1682411663439,25/04/2023 08:34:23,1682386463439,-7,24/04/2023 18:34:23,131169,4,task-2g93,,29073152,BLIND,8657734,,complete,,f1543c0f-b037-442e-bd9e-f289bc9229e5,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x947,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,3,Trial/Encounter,Reward,56azq1,4,continue,,1152.7240000000165,1145.7930000000051,1152.7240000000165,1152.7240000000165,1145.7930000000051,1152.7240000000165,1,0,1152.7240000000165,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Jamal</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,<em><b>Jamal</b> correctly identifies the sequence of tiles necessary to get across. He is showered by applause from the crowd.,,<em><b>Jamal</b> repeatedly steps on incorrect tiles but manages to make it across. He loses some valuables from his pack to the tar-like substance.,4783.5,,,,Tama,,,,,Reward,2,1
