Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
17,1682374484621,24/04/2023 22:14:44,1682374484163,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,parentMarriage-quantised,2
18,1682374484621,24/04/2023 22:14:44,1682374484163,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,parentMarriage-text,
19,1682374484621,24/04/2023 22:14:44,1682374484164,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,partDegree,AA
20,1682374484621,24/04/2023 22:14:44,1682374484164,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,parentDegree,high school
21,1682374484621,24/04/2023 22:14:44,1682374484164,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,Income,More than $80000
22,1682374484621,24/04/2023 22:14:44,1682374484165,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,Income-quantised,5
23,1682374484740,24/04/2023 22:14:44,1682374484165,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,maritalStatus,Married
24,1682374484740,24/04/2023 22:14:44,1682374484166,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,maritalStatus-quantised,2
25,1682374484740,24/04/2023 22:14:44,1682374484167,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,maritalStatus-text,
26,1682374484740,24/04/2023 22:14:44,1682374484167,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,nChildren,1
