Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
11,1682400020248,25/04/2023 05:20:20,1682374820248,-7,24/04/2023 15:20:20,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,Trial/Encounter,Punish,bufrmy,4,continue,,2671.7399999999907,2664.1199999999953,2671.7399999999907,2671.7399999999907,2664.1199999999953,2671.7399999999907,1,0,2671.7399999999907,0,0,,Click To Continue,Continue Button,2,object-86,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Ajibola,,,,,Punish,,1
12,1682400026215,25/04/2023 05:20:26,1682374826215,-7,24/04/2023 15:20:26,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,1,Trial/Encounter,trialEnd,olwm64,5,continue,,1646.4400000000023,1631.7600000000093,1646.4400000000023,1646.4400000000023,1631.7600000000093,1646.4400000000023,1,0,1646.4400000000023,0,0,,Click To Continue,Continue Button,2,object-89,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Ajibola,,,,,Punish,,1
13,1682400027866,25/04/2023 05:20:27,1682374827866,-7,24/04/2023 15:20:27,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,2,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,1665.0599999999977,1648.4400000000023,1665.0599999999977,1665.0599999999977,1648.4400000000023,1665.0599999999977,1,0,1665.0599999999977,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Aisha</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Aisha</b> chokes the salamander into unconsciousness. She is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Aisha’s</b> arm. She takes damage, but the salamander cowers into its den.",6927.9,,,,Ajibola,,,,,Punish,,1
14,1682400039122,25/04/2023 05:20:39,1682374839122,-7,24/04/2023 15:20:39,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,2,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6926.920000000013,6926.1600000000035,6926.920000000013,6926.920000000013,6926.1600000000035,6926.920000000013,1,0,6926.920000000013,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Aisha</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Aisha</b> chokes the salamander into unconsciousness. She is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Aisha’s</b> arm. She takes damage, but the salamander cowers into its den.",6927.9,,,,Ajibola,,,,,Punish,,1
15,1682400048746,25/04/2023 05:20:48,1682374848746,-7,24/04/2023 15:20:48,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,2,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,9620.76000000001,9607.619999999995,9620.76000000001,9620.76000000001,9607.619999999995,9620.76000000001,1,0,9620.76000000001,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Aisha</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Aisha</b> chokes the salamander into unconsciousness. She is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Aisha’s</b> arm. She takes damage, but the salamander cowers into its den.",6927.9,,,,Ajibola,,,,,Reward,1,1
16,1682400049830,25/04/2023 05:20:49,1682374849830,-7,24/04/2023 15:20:49,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,2,Trial/Encounter,Reward,56azq1,4,continue,,1101.140000000014,1098.8600000000151,1101.140000000014,1101.140000000014,1098.8600000000151,1101.140000000014,1,0,1101.140000000014,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Aisha</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Aisha</b> chokes the salamander into unconsciousness. She is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Aisha’s</b> arm. She takes damage, but the salamander cowers into its den.",6927.9,,,,Ajibola,,,,,Reward,1,1
17,1682400057015,25/04/2023 05:20:57,1682374857015,-7,24/04/2023 15:20:57,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,2,Trial/Encounter,trialEnd,olwm64,5,continue,,1579.9200000000128,1568.1600000000035,1579.9200000000128,1579.9200000000128,1568.1600000000035,1579.9200000000128,1,0,1579.9200000000128,0,0,,Click To Continue,Continue Button,2,object-89,Trial/Encounter,,,,"<em>A gigantic salamander emerges from the shadows, hungry for flesh.",<em><b>Aisha</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Aisha</b> chokes the salamander into unconsciousness. She is unharmed in the encounter.,,"<em>The salamander’s giant maw bites <b>Aisha’s</b> arm. She takes damage, but the salamander cowers into its den.",6927.9,,,,Ajibola,,,,,Reward,1,1
18,1682400062462,25/04/2023 05:21:02,1682374862462,-7,24/04/2023 15:21:02,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,3,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,5458.760000000009,5444.720000000001,5458.760000000009,5458.760000000009,5444.720000000001,5458.760000000009,1,0,5458.760000000009,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Aisha</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,<em><b>Aisha</b> correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,,<em><b>Aisha</b> repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from his pack to the tar-like substance.,4783.5,,,,Ajibola,,,,,Reward,1,1
19,1682400067777,25/04/2023 05:21:07,1682374867777,-7,24/04/2023 15:21:07,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,3,Trial/Encounter,Delay,4wo1q4,2,timedOut,,4779.579999999987,4778.819999999978,4779.579999999987,4779.579999999987,4778.819999999978,4779.579999999987,1,0,4779.579999999987,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Aisha</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,<em><b>Aisha</b> correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,,<em><b>Aisha</b> repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from his pack to the tar-like substance.,4783.5,,,,Ajibola,,,,,Reward,1,1
20,1682400072712,25/04/2023 05:21:12,1682374872712,-7,24/04/2023 15:21:12,131169,4,task-2zn7,,29070711,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InOut-gender,BlackMale_OutGrp_Gender,3,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,4931.760000000009,4928.600000000006,4931.760000000009,4931.760000000009,4928.600000000006,4931.760000000009,1,0,4931.760000000009,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,<em>The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,<em><b>Aisha</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,<em><b>Aisha</b> correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,,<em><b>Aisha</b> repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from his pack to the tar-like substance.,4783.5,,,,Ajibola,,,,,Reward,2,1
