,Participant Private ID,Spreadsheet: Type,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Response
119,9852797.0,STR,Yuxi,Out,2.0,Punish
120,9852797.0,DIR,Emma,In,1.0,Punish
121,9852797.0,INT,Yuxi,Out,2.0,Punish
122,9852797.0,STR,Emma,In,1.0,Reward
123,9852797.0,INT,Yuxi,Out,2.0,Reward
124,9852797.0,DIR,Yuxi,Out,2.0,Reward
125,9852797.0,STR,Emma,In,1.0,Reward
126,9852797.0,INT,Emma,In,1.0,Punish
127,9852797.0,DIR,Yuxi,Out,2.0,Punish
128,9852797.0,DIR,Emma,In,1.0,Punish
129,9852797.0,INT,Yuxi,Out,2.0,Punish
130,9852797.0,STR,Yuxi,Out,2.0,Reward
131,9852797.0,INT,Emma,In,1.0,Reward
132,9852797.0,,,,,40-60
133,9852796.0,STR,Yuxi,Out,2.0,Reward
134,9852796.0,DIR,Emma,In,1.0,Reward
135,9852796.0,DIR,Yuxi,Out,2.0,Punish
136,9852796.0,STR,Emma,In,1.0,Punish
137,9852796.0,INT,Emma,In,1.0,Reward
138,9852796.0,STR,Yuxi,Out,2.0,Punish
139,9852796.0,DIR,Emma,In,1.0,Punish
140,9852796.0,INT,Yuxi,Out,2.0,Reward
141,9852796.0,STR,Emma,In,1.0,Punish
142,9852796.0,INT,Yuxi,Out,2.0,Reward
143,9852796.0,DIR,Yuxi,Out,2.0,Punish
144,9852796.0,STR,Emma,In,1.0,Reward
145,9852796.0,INT,Emma,In,1.0,Reward
146,9852796.0,DIR,Yuxi,Out,2.0,Punish
147,9852796.0,DIR,Emma,In,1.0,Reward
148,9852796.0,INT,Yuxi,Out,2.0,Reward
149,9852796.0,STR,Yuxi,Out,2.0,Punish
150,9852796.0,INT,Emma,In,1.0,Reward
151,9852796.0,,,,,40-60
152,9852777.0,STR,Yuxi,Out,2.0,Reward
153,9852777.0,DIR,Emma,In,1.0,Reward
154,9852777.0,DIR,Yuxi,Out,2.0,Punish
155,9852777.0,STR,Emma,In,1.0,Reward
156,9852777.0,INT,Emma,In,1.0,Reward
157,9852777.0,STR,Yuxi,Out,2.0,Reward
158,9852777.0,DIR,Emma,In,1.0,Reward
159,9852777.0,INT,Yuxi,Out,2.0,Punish
160,9852777.0,STR,Emma,In,1.0,Reward
161,9852777.0,INT,Yuxi,Out,2.0,Punish
162,9852777.0,DIR,Yuxi,Out,2.0,Punish
163,9852777.0,STR,Emma,In,1.0,Reward
164,9852777.0,INT,Emma,In,1.0,Reward
165,9852777.0,DIR,Yuxi,Out,2.0,Reward
166,9852777.0,DIR,Emma,In,1.0,Punish
167,9852777.0,INT,Yuxi,Out,2.0,Punish
168,9852777.0,STR,Yuxi,Out,2.0,Punish
169,9852777.0,INT,Emma,In,1.0,Punish
170,9852777.0,,,,,40-60
171,9852784.0,STR,Yuxi,Out,2.0,Reward
172,9852784.0,DIR,Emma,In,1.0,Reward
173,9852784.0,DIR,Yuxi,Out,2.0,Reward
174,9852784.0,STR,Emma,In,1.0,Reward
175,9852784.0,INT,Emma,In,1.0,Reward
176,9852784.0,STR,Yuxi,Out,2.0,Reward
177,9852784.0,DIR,Emma,In,1.0,Reward
178,9852784.0,INT,Yuxi,Out,2.0,Reward
179,9852784.0,STR,Emma,In,1.0,Reward
180,9852784.0,INT,Yuxi,Out,2.0,Reward
181,9852784.0,DIR,Yuxi,Out,2.0,Punish
182,9852784.0,STR,Emma,In,1.0,Punish
183,9852784.0,INT,Emma,In,1.0,Punish
184,9852784.0,DIR,Yuxi,Out,2.0,Punish
185,9852784.0,DIR,Emma,In,1.0,Punish
186,9852784.0,INT,Yuxi,Out,2.0,Punish
187,9852784.0,STR,Yuxi,Out,2.0,Punish
188,9852784.0,INT,Emma,In,1.0,Punish
189,9852784.0,,,,,40-60
190,9852809.0,STR,Yuxi,Out,2.0,Reward
191,9852809.0,DIR,Emma,In,1.0,Reward
192,9852809.0,DIR,Yuxi,Out,2.0,Reward
193,9852809.0,STR,Emma,In,1.0,Reward
194,9852809.0,INT,Emma,In,1.0,Reward
195,9852809.0,STR,Yuxi,Out,2.0,Reward
196,9852809.0,DIR,Emma,In,1.0,Reward
197,9852809.0,INT,Yuxi,Out,2.0,Reward
198,9852809.0,STR,Emma,In,1.0,Reward
199,9852809.0,INT,Yuxi,Out,2.0,Reward
200,9852809.0,DIR,Yuxi,Out,2.0,Punish
201,9852809.0,STR,Emma,In,1.0,Punish
202,9852809.0,INT,Emma,In,1.0,Punish
203,9852809.0,DIR,Yuxi,Out,2.0,Punish
204,9852809.0,DIR,Emma,In,1.0,Punish
205,9852809.0,INT,Yuxi,Out,2.0,Punish
206,9852809.0,STR,Yuxi,Out,2.0,Punish
207,9852809.0,INT,Emma,In,1.0,Punish
208,9852809.0,,,,,40-60
209,9362305.0,STR,Emma,In,1.0,Punish
210,9362305.0,DIR,Yuxi,Out,2.0,Reward
211,9362305.0,DIR,Emma,In,1.0,Reward
212,9362305.0,STR,Yuxi,Out,2.0,Reward
213,9362305.0,INT,Yuxi,Out,2.0,Reward
214,9362305.0,STR,Emma,In,1.0,Reward
215,9362305.0,DIR,Yuxi,Out,2.0,Reward
216,9362305.0,INT,Emma,In,1.0,Punish
217,9362305.0,STR,Yuxi,Out,2.0,Reward
218,9362305.0,INT,Emma,In,1.0,Reward
219,9362305.0,DIR,Emma,In,1.0,Punish
220,9362305.0,STR,Yuxi,Out,2.0,Reward
221,9362305.0,INT,Yuxi,Out,2.0,Punish
222,9362305.0,DIR,Emma,In,1.0,Punish
223,9362305.0,DIR,Yuxi,Out,2.0,Punish
224,9362305.0,INT,Emma,In,1.0,Reward
225,9362305.0,STR,Emma,In,1.0,Punish
226,9362305.0,INT,Yuxi,Out,2.0,Punish
227,9362305.0,,,,,60-40
228,9362331.0,STR,Emma,In,1.0,Punish
229,9362331.0,DIR,Yuxi,Out,2.0,Reward
230,9362331.0,DIR,Emma,In,1.0,Reward
231,9362331.0,STR,Yuxi,Out,2.0,Reward
232,9362331.0,INT,Yuxi,Out,2.0,Reward
233,9362331.0,STR,Emma,In,1.0,Reward
234,9362331.0,DIR,Yuxi,Out,2.0,Reward
235,9362331.0,INT,Emma,In,1.0,Reward
236,9362331.0,STR,Yuxi,Out,2.0,Reward
237,9362331.0,INT,Emma,In,1.0,Reward
238,9362331.0,DIR,Emma,In,1.0,Reward
239,9362331.0,STR,Yuxi,Out,2.0,Punish
240,9362331.0,INT,Yuxi,Out,2.0,Punish
241,9362331.0,DIR,Emma,In,1.0,Punish
242,9362331.0,DIR,Yuxi,Out,2.0,Punish
243,9362331.0,INT,Emma,In,1.0,Punish
244,9362331.0,STR,Emma,In,1.0,Punish
245,9362331.0,INT,Yuxi,Out,2.0,Punish
246,9362331.0,,,,,40-60
247,9362346.0,STR,Emma,In,1.0,Reward
248,9362346.0,DIR,Yuxi,Out,2.0,Reward
