,partEdu
293,Bachelor's degree (4 years of college)
294,Bachelor's degree (4 years of college)
295,Master's degree
296,Some college
297,Bachelor's degree (4 years of college)
299,Bachelor's degree (4 years of college)
300,Bachelor's degree (4 years of college)
301,Associate's degree (2 years of college)
302,Bachelor's degree (4 years of college)
303,Bachelor's degree (4 years of college)
304,Bachelor's degree (4 years of college)
305,Bachelor's degree (4 years of college)
307,Highschool degree
308,Bachelor's degree (4 years of college)
309,Highschool degree
310,Bachelor's degree (4 years of college)
311,Bachelor's degree (4 years of college)
312,Highschool degree
313,Associate's degree (2 years of college)
314,Bachelor's degree (4 years of college)
315,Bachelor's degree (4 years of college)
317,Highschool degree
318,Bachelor's degree (4 years of college)
319,Associate's degree (2 years of college)
320,Bachelor's degree (4 years of college)
321,Master's degree
322,Bachelor's degree (4 years of college)
324,Bachelor's degree (4 years of college)
325,Bachelor's degree (4 years of college)
327,Some college
329,Bachelor's degree (4 years of college)
330,Associate's degree (2 years of college)
331,Bachelor's degree (4 years of college)
332,Highschool degree
334,Some college
335,Bachelor's degree (4 years of college)
336,Highschool degree
338,Bachelor's degree (4 years of college)
339,Some college
340,Doctoral degree
341,Associate's degree (2 years of college)
342,Highschool degree
343,Highschool degree
344,Some college
345,Bachelor's degree (4 years of college)
346,Bachelor's degree (4 years of college)
347,Bachelor's degree (4 years of college)
348,Bachelor's degree (4 years of college)
349,Bachelor's degree (4 years of college)
350,No highschool
351,Master's degree
352,Associate's degree (2 years of college)
353,Bachelor's degree (4 years of college)
355,Master's degree
356,Associate's degree (2 years of college)
357,Bachelor's degree (4 years of college)
358,Bachelor's degree (4 years of college)
359,Some college
360,Bachelor's degree (4 years of college)
362,Doctoral degree
363,Highschool degree
364,Bachelor's degree (4 years of college)
365,Bachelor's degree (4 years of college)
366,Some college
367,Some college
368,Bachelor's degree (4 years of college)
369,Bachelor's degree (4 years of college)
374,Some college
376,Doctoral degree
377,Bachelor's degree (4 years of college)
379,Some college
380,Highschool degree
381,Master's degree
382,Bachelor's degree (4 years of college)
383,Bachelor's degree (4 years of college)
384,Highschool degree
386,Highschool degree
387,Some college
388,Highschool degree
389,Bachelor's degree (4 years of college)
390,Bachelor's degree (4 years of college)
391,Bachelor's degree (4 years of college)
392,Some college
393,Associate's degree (2 years of college)
394,Highschool degree
396,Highschool degree
397,Bachelor's degree (4 years of college)
398,Bachelor's degree (4 years of college)
399,Bachelor's degree (4 years of college)
400,Bachelor's degree (4 years of college)
401,Bachelor's degree (4 years of college)
402,Bachelor's degree (4 years of college)
403,Associate's degree (2 years of college)
404,Master's degree
405,Doctoral degree
407,Bachelor's degree (4 years of college)
408,Bachelor's degree (4 years of college)
409,Associate's degree (2 years of college)
410,Bachelor's degree (4 years of college)
411,Highschool degree
412,Associate's degree (2 years of college)
413,Bachelor's degree (4 years of college)
415,Bachelor's degree (4 years of college)
416,Associate's degree (2 years of college)
417,Bachelor's degree (4 years of college)
419,Bachelor's degree (4 years of college)
420,Some college
422,Bachelor's degree (4 years of college)
429,Bachelor's degree (4 years of college)
432,Bachelor's degree (4 years of college)
433,Master's degree
434,Some college
435,Highschool degree
436,Bachelor's degree (4 years of college)
438,Some college
439,Bachelor's degree (4 years of college)
440,Bachelor's degree (4 years of college)
442,Bachelor's degree (4 years of college)
443,Bachelor's degree (4 years of college)
444,Bachelor's degree (4 years of college)
445,Associate's degree (2 years of college)
447,Some college
448,Associate's degree (2 years of college)
449,Master's degree
450,Bachelor's degree (4 years of college)
451,Some college
454,Some college
456,Master's degree
457,Bachelor's degree (4 years of college)
458,Doctoral degree
459,__other
460,Associate's degree (2 years of college)
461,Bachelor's degree (4 years of college)
462,Bachelor's degree (4 years of college)
463,Master's degree
464,Associate's degree (2 years of college)
465,Master's degree
466,Some college
467,Bachelor's degree (4 years of college)
468,Associate's degree (2 years of college)
469,Bachelor's degree (4 years of college)
471,Highschool degree
472,Bachelor's degree (4 years of college)
473,Bachelor's degree (4 years of college)
474,Master's degree
475,Some college
476,Bachelor's degree (4 years of college)
477,Bachelor's degree (4 years of college)
478,Bachelor's degree (4 years of college)
479,Bachelor's degree (4 years of college)
480,Associate's degree (2 years of college)
481,Some college
482,Some college
483,Bachelor's degree (4 years of college)
484,Associate's degree (2 years of college)
485,Master's degree
487,Bachelor's degree (4 years of college)
488,Bachelor's degree (4 years of college)
489,Master's degree
490,Highschool degree
491,Some college
492,Bachelor's degree (4 years of college)
493,Bachelor's degree (4 years of college)
494,Some college
496,Associate's degree (2 years of college)
498,Bachelor's degree (4 years of college)
499,Associate's degree (2 years of college)
501,Bachelor's degree (4 years of college)
502,Master's degree
503,Some college
504,Some college
505,Some college
506,Some college
507,Associate's degree (2 years of college)
508,Master's degree
509,Associate's degree (2 years of college)
510,Some college
512,Doctoral degree
513,Bachelor's degree (4 years of college)
514,Bachelor's degree (4 years of college)
515,Master's degree
516,Master's degree
517,Bachelor's degree (4 years of college)
519,Bachelor's degree (4 years of college)
520,Master's degree
521,Bachelor's degree (4 years of college)
523,Master's degree
524,Bachelor's degree (4 years of college)
525,Highschool degree
526,Highschool degree
527,Doctoral degree
528,Associate's degree (2 years of college)
529,Some college
530,Master's degree
531,Highschool degree
532,Bachelor's degree (4 years of college)
533,Bachelor's degree (4 years of college)
534,Bachelor's degree (4 years of college)
535,Bachelor's degree (4 years of college)
538,Bachelor's degree (4 years of college)
539,Some college
540,Associate's degree (2 years of college)
541,Bachelor's degree (4 years of college)
542,Bachelor's degree (4 years of college)
543,Some college
544,Bachelor's degree (4 years of college)
545,Master's degree
546,Bachelor's degree (4 years of college)
547,Some college
548,Some college
550,Associate's degree (2 years of college)
551,__other
552,Highschool degree
553,Bachelor's degree (4 years of college)
554,Some college
555,Some college
556,Bachelor's degree (4 years of college)
557,Master's degree
558,Associate's degree (2 years of college)
559,Some college
561,Bachelor's degree (4 years of college)
562,Doctoral degree
563,Some college
565,Bachelor's degree (4 years of college)
566,Doctoral degree
567,Bachelor's degree (4 years of college)
568,Bachelor's degree (4 years of college)
569,Some college
570,Bachelor's degree (4 years of college)
571,Some college
572,Some college
573,Bachelor's degree (4 years of college)
574,Bachelor's degree (4 years of college)
576,Bachelor's degree (4 years of college)
577,Doctoral degree
578,Bachelor's degree (4 years of college)
580,Master's degree
583,Bachelor's degree (4 years of college)
585,Some college
586,Master's degree
587,Bachelor's degree (4 years of college)
588,Associate's degree (2 years of college)
589,Associate's degree (2 years of college)
590,Bachelor's degree (4 years of college)
591,Bachelor's degree (4 years of college)
593,Bachelor's degree (4 years of college)
594,Some college
596,Highschool degree
598,Bachelor's degree (4 years of college)
