Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
12,1674075284487,18/01/2023 20:54:44,1674075284348,-7,18/01/2023 13:54:44,110083,9,questionnaire-mzsc,,26471310,BLIND,7814416,,complete,sseaxv,3TVSS0C0E7BFEHZ2NCLQHOPK1W9TWZ,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1841x977,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,END QUESTIONNAIRE,20594
1,1674075342081,18/01/2023 20:55:42,1674075339240,-6,18/01/2023 14:55:39,110083,9,questionnaire-mzsc,,26471350,BLIND,7814438,,complete,auszpl,3P4RDNWNDBH3ZJJSM137ERT3OJLIJD,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1600x900,1600x767,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674075363918,18/01/2023 20:56:03,1674075361134,-6,18/01/2023 14:56:01,110083,9,questionnaire-mzsc,,26471350,BLIND,7814438,,complete,auszpl,3P4RDNWNDBH3ZJJSM137ERT3OJLIJD,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1600x900,1600x767,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF1,7
3,1674075364085,18/01/2023 20:56:04,1674075361137,-6,18/01/2023 14:56:01,110083,9,questionnaire-mzsc,,26471350,BLIND,7814438,,complete,auszpl,3P4RDNWNDBH3ZJJSM137ERT3OJLIJD,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1600x900,1600x767,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF2,7
4,1674075364085,18/01/2023 20:56:04,1674075361137,-6,18/01/2023 14:56:01,110083,9,questionnaire-mzsc,,26471350,BLIND,7814438,,complete,auszpl,3P4RDNWNDBH3ZJJSM137ERT3OJLIJD,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1600x900,1600x767,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF3,1
5,1674075364085,18/01/2023 20:56:04,1674075361137,-6,18/01/2023 14:56:01,110083,9,questionnaire-mzsc,,26471350,BLIND,7814438,,complete,auszpl,3P4RDNWNDBH3ZJJSM137ERT3OJLIJD,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1600x900,1600x767,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF4,7
6,1674075364085,18/01/2023 20:56:04,1674075361137,-6,18/01/2023 14:56:01,110083,9,questionnaire-mzsc,,26471350,BLIND,7814438,,complete,auszpl,3P4RDNWNDBH3ZJJSM137ERT3OJLIJD,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1600x900,1600x767,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF5,1
7,1674075364085,18/01/2023 20:56:04,1674075361137,-6,18/01/2023 14:56:01,110083,9,questionnaire-mzsc,,26471350,BLIND,7814438,,complete,auszpl,3P4RDNWNDBH3ZJJSM137ERT3OJLIJD,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1600x900,1600x767,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF6,7
8,1674075364085,18/01/2023 20:56:04,1674075361137,-6,18/01/2023 14:56:01,110083,9,questionnaire-mzsc,,26471350,BLIND,7814438,,complete,auszpl,3P4RDNWNDBH3ZJJSM137ERT3OJLIJD,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1600x900,1600x767,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF7,7
9,1674075364085,18/01/2023 20:56:04,1674075361137,-6,18/01/2023 14:56:01,110083,9,questionnaire-mzsc,,26471350,BLIND,7814438,,complete,auszpl,3P4RDNWNDBH3ZJJSM137ERT3OJLIJD,computer,Desktop or Laptop,Windows 10,Firefox 108.0,1600x900,1600x767,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF8,4
