Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
8,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE7,5
9,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE8,2
10,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE9,2
11,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE10,3
12,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEF1,2
13,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEF2,6
14,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEF3,2
15,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEF4,2
16,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEF5,5
17,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,END QUESTIONNAIRE,27933
1,1.67407E+12,18/01/2023 20:33:39,1.67407E+12,-5,18/01/2023 15:33:39,110083,9,questionnaire-fldq,,26470248,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1.67407E+12,18/01/2023 20:33:59,1.67407E+12,-5,18/01/2023 15:33:59,110083,9,questionnaire-fldq,,26470248,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE1,7
3,1.67407E+12,18/01/2023 20:33:59,1.67407E+12,-5,18/01/2023 15:33:59,110083,9,questionnaire-fldq,,26470248,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE2,6
4,1.67407E+12,18/01/2023 20:33:59,1.67407E+12,-5,18/01/2023 15:33:59,110083,9,questionnaire-fldq,,26470248,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE3,6
