Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Police,Firefighter,Neighbors,Conservatives,Liberals,Healthcare,Voting,Immigration,Religion,Science,Anger,Fear,Joy,Love,Sadness,Trust,TimedSection
11,1.68E+12,13/03/2023 01:10:01,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,Religion,drag_and_drop_main,33790.7,null,,"310px Top, 207px Left",9,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
12,1.68E+12,13/03/2023 01:10:04,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,Trust,drag_and_drop_main,36622.8,null,,"311px Top, 44px Left",10,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
13,1.68E+12,13/03/2023 01:10:07,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,Fear,drag_and_drop_main,39606.6,null,,"220px Top, 209px Left",11,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
14,1.68E+12,13/03/2023 01:10:16,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,Sadness,drag_and_drop_main,49406.7,null,,"219px Top, 43px Left",12,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
15,1.68E+12,13/03/2023 01:10:23,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,conceptC,drag_and_drop_main,55583.3,null,,"126px Top, 207px Left",13,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
16,1.68E+12,13/03/2023 01:10:27,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,Immigration,drag_and_drop_main,60406.9,null,,"125px Top, 39px Left",14,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
17,1.68E+12,13/03/2023 01:10:30,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,conceptD,drag_and_drop_main,62958.7,null,,"30px Top, 200px Left",15,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
18,1.68E+12,13/03/2023 01:10:34,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,conceptB,drag_and_drop_main,67319.4,null,,"32px Top, 41px Left",16,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
19,1.68E+12,13/03/2023 01:10:50,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,Zone10,continue_button,82959.1,null,,null,,0,1,0,null,null,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
20,1.68E+12,13/03/2023 01:10:51,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,3,1,1,Screen 1,advancementZone,continue_button,1037.9,null,,null,,0,1,0,null,null,FALSE,,,End,,,,,,,,,,,,,,,,,
21,1.68E+12,13/03/2023 01:10:51,1.68E+12,-4,12/3/2023 21:10,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,,,END TASK,,,,,85127,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
