Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
13,1.67407E+12,18/01/2023 20:34:55,1.67407E+12,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_blanket,7
14,1.67407E+12,18/01/2023 20:34:55,1.67407E+12,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_media,3
15,1.67407E+12,18/01/2023 20:34:55,1.67407E+12,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_knife,7
16,1.67407E+12,18/01/2023 20:34:55,1.67407E+12,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_voting,7
17,1.67407E+12,18/01/2023 20:34:55,1.67407E+12,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,OpenEnded,relate my feelings about words to my beliefs and personality?
18,1.67407E+12,18/01/2023 20:34:55,1.67407E+12,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,END QUESTIONNAIRE,50302
1,1.67407E+12,18/01/2023 20:34:29,1.67407E+12,-5,18/01/2023 15:34:29,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_religion,2
3,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_science,3
4,1.67407E+12,18/01/2023 20:35:00,1.67407E+12,-5,18/01/2023 15:34:59,110083,9,questionnaire-olq6,,26470287,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_puppy,5
