Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
1,1674074065929,18/01/2023 20:34:25,1674074065195,-5,18/01/2023 15:34:25,110083,9,questionnaire-dmpk,,26470286,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074076255,18/01/2023 20:34:36,1674074076047,-5,18/01/2023 15:34:36,110083,9,questionnaire-dmpk,,26470286,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS1,6
3,1674074076783,18/01/2023 20:34:36,1674074076049,-5,18/01/2023 15:34:36,110083,9,questionnaire-dmpk,,26470286,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS2,6
4,1674074076783,18/01/2023 20:34:36,1674074076050,-5,18/01/2023 15:34:36,110083,9,questionnaire-dmpk,,26470286,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS3,6
5,1674074076783,18/01/2023 20:34:36,1674074076050,-5,18/01/2023 15:34:36,110083,9,questionnaire-dmpk,,26470286,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS4,6
6,1674074076783,18/01/2023 20:34:36,1674074076052,-5,18/01/2023 15:34:36,110083,9,questionnaire-dmpk,,26470286,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,END QUESTIONNAIRE,10857
1,1674074090244,18/01/2023 20:34:50,1674074090047,-5,18/01/2023 15:34:50,110083,9,questionnaire-dmpk,,26470300,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074095394,18/01/2023 20:34:55,1674074095325,-5,18/01/2023 15:34:55,110083,9,questionnaire-dmpk,,26470300,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS1,3
3,1674074095539,18/01/2023 20:34:55,1674074095326,-5,18/01/2023 15:34:55,110083,9,questionnaire-dmpk,,26470300,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS2,3
4,1674074095539,18/01/2023 20:34:55,1674074095326,-5,18/01/2023 15:34:55,110083,9,questionnaire-dmpk,,26470300,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",1,NonBlackIdentity,No,EIS3,5
